ticker,form,filing_date,accession,anchor_hit,section_chars,investees,carrying_value_billion,cumulative_gains_billion,cumulative_losses_billion,funding_commitment_billion,funded_to_date_billion,pretax_gain_quarter_billion,stake_pct,valuation_methods
GOOGL,10-Q,2026-04-30,0001652044-26-000048,True,3000,,101.3,,,,,,,option_pricing|market_comparable|common_stock_equivalent
GOOGL,10-K,2026-02-05,0001652044-26-000018,True,3000,,,,,,,,,
GOOGL,10-Q,2025-10-30,0001652044-25-000091,True,3000,,61.1,,,,,,,option_pricing|market_comparable|common_stock_equivalent
GOOGL,10-Q,2025-07-24,0001652044-25-000062,True,3000,,49.8,,,,,,,option_pricing|market_comparable|common_stock_equivalent
GOOGL,10-Q,2025-04-25,0001652044-25-000043,True,3000,,,,,,,,,option_pricing|market_comparable|common_stock_equivalent
GOOGL,10-K,2025-02-05,0001652044-25-000014,True,3000,,,,,,,,,
GOOGL,10-Q,2024-10-30,0001652044-24-000118,True,3000,,33.7,,,,,,,option_pricing|market_comparable|common_stock_equivalent
GOOGL,10-Q,2024-07-24,0001652044-24-000079,True,3000,,31.6,,,,,,,option_pricing|market_comparable|common_stock_equivalent
GOOGL,10-Q,2024-04-26,0001652044-24-000053,True,3000,,31.4,,,,,,,option_pricing|market_comparable|common_stock_equivalent
GOOGL,10-K,2024-01-31,0001652044-24-000022,True,3000,,,,,,,,,
GOOGL,10-Q,2023-10-25,0001652044-23-000094,True,3000,,28.8,,,,,,,
GOOGL,10-Q,2023-07-26,0001652044-23-000070,True,3000,,29.1,,,,,,,
GOOGL,10-Q,2023-04-26,0001652044-23-000045,True,3000,,29.1,,,,,,,
GOOGL,10-K,2023-02-03,0001652044-23-000016,True,3000,,,,,,,,,
AMZN,10-Q,2026-04-30,0001018724-26-000014,True,12000,OpenAI|Anthropic,,,,,,,,
AMZN,10-K,2026-02-06,0001018724-26-000004,True,12000,Anthropic,,,,,,15.2,,
AMZN,10-Q,2025-10-31,0001018724-25-000123,True,12000,Anthropic,,,,,,10.2,,
AMZN,10-Q,2025-08-01,0001018724-25-000086,True,12000,Anthropic,,,,,,1.1,,
AMZN,10-Q,2025-05-02,0001018724-25-000036,True,12000,Anthropic,,,,,,2.7,,
AMZN,10-K,2025-02-07,0001018724-25-000004,False,0,,,,,,,,,
AMZN,10-Q,2024-11-01,0001018724-24-000161,False,0,,,,,,,,,
AMZN,10-Q,2024-08-02,0001018724-24-000130,False,0,,,,,,,,,
AMZN,10-Q,2024-05-01,0001018724-24-000083,False,0,,,,,,,,,
AMZN,10-K,2024-02-02,0001018724-24-000008,False,0,,,,,,,,,
AMZN,10-Q,2023-10-27,0001018724-23-000018,False,0,,,,,,,,,
AMZN,10-Q,2023-08-04,0001018724-23-000012,False,0,,,,,,,,,
AMZN,10-Q,2023-04-28,0001018724-23-000008,False,0,,,,,,,,,
AMZN,10-K,2023-02-03,0001018724-23-000004,False,0,,,,,,,,,
MSFT,10-Q,2026-04-29,0001193125-26-191507,True,12000,OpenAI,,,,13.0,11.8,5.9,27.0,option_pricing|equity_method
MSFT,10-Q,2026-01-28,0001193125-26-027207,True,12000,OpenAI,,,,13.0,11.7,5.9,27.0,option_pricing|equity_method
MSFT,10-Q,2025-10-29,0001193125-25-256321,True,11744,OpenAI,,,,13.0,11.6,,,option_pricing|equity_method
MSFT,10-K,2025-07-30,0000950170-25-100235,True,3014,OpenAI,,,,13.0,,,,equity_method
MSFT,10-Q,2025-04-30,0000950170-25-061046,True,3014,OpenAI,,,,13.0,,,,equity_method
MSFT,10-Q,2025-01-29,0000950170-25-010491,True,3014,OpenAI,,,,13.0,,,,equity_method
MSFT,10-Q,2024-10-30,0000950170-24-118967,True,3014,OpenAI,,,,13.0,,,,equity_method
MSFT,10-K,2024-07-30,0000950170-24-087843,False,0,,,,,,,,,
MSFT,10-Q,2024-04-25,0000950170-24-048288,False,0,,,,,,,,,
MSFT,10-Q,2024-01-30,0000950170-24-008814,False,0,,,,,,,,,
MSFT,10-Q,2023-10-24,0000950170-23-054855,False,0,,,,,,,,,
MSFT,10-K,2023-07-27,0000950170-23-035122,False,0,,,,,,,,,
MSFT,10-Q,2023-04-25,0000950170-23-014423,False,0,,,,,,,,,
MSFT,10-Q,2023-01-24,0001564590-23-000733,False,0,,,,,,,,,
NVDA,10-K,2026-02-25,0001045810-26-000021,True,3000,,,,,,,,,
NVDA,10-Q,2025-11-19,0001045810-25-000230,True,3000,,,,,,,,,
NVDA,10-Q,2025-08-27,0001045810-25-000209,True,3000,,,,,,,,,
NVDA,10-Q,2025-05-28,0001045810-25-000116,True,3000,,,,,,,,,
NVDA,10-K,2025-02-26,0001045810-25-000023,True,3000,,,,,,,,,
NVDA,10-Q,2024-11-20,0001045810-24-000316,True,3000,,,,,,,,,
NVDA,10-Q,2024-08-28,0001045810-24-000264,True,3000,,,,,,,,,
NVDA,10-Q,2024-05-29,0001045810-24-000124,True,3000,,,,,,,,,
NVDA,10-K,2024-02-21,0001045810-24-000029,True,3000,,,,,,,,,
NVDA,10-Q,2023-11-21,0001045810-23-000227,False,0,,,,,,,,,
NVDA,10-Q,2023-08-28,0001045810-23-000175,False,0,,,,,,,,,
NVDA,10-Q,2023-05-26,0001045810-23-000093,False,0,,,,,,,,,
NVDA,10-K,2023-02-24,0001045810-23-000017,False,0,,,,,,,,,
